age,female_pop,male_pop,asfr,death_prob_female,death_prob_male,mig_female,mig_male
66,8516634.53,8083585.317,0,0.00708,0.01428,-281.2474919,-335.1589748
67,7794885.841,7361836.628,0,0.00795,0.01555,-281.2474919,-335.1589748
68,7650536.103,7217486.89,0,0.00926,0.01765,-281.2474919,-335.1589748
69,6351388.463,5918339.25,0,0.01028,0.01903,-281.2474919,-335.1589748
70,6207038.725,5773989.512,0,0.0116,0.02088,-148.4039885,-188.2320347
71,5918339.25,5629639.774,0,0.01346,0.02415,-148.4039885,-188.2320347
72,4907891.085,4619191.61,0,0.01518,0.0262,-148.4039885,-188.2320347
73,4619191.61,4330492.134,0,0.01714,0.02878,-148.4039885,-188.2320347
74,4330492.134,4041792.658,0,0.01935,0.03178,-148.4039885,-188.2320347
75,3753093.183,3464393.707,0,0.02243,0.0359,-81.03039865,-84.84513439
76,3608743.445,3320043.969,0,0.02486,0.03911,-81.03039865,-84.84513439
77,3175694.232,2886994.756,0,0.02814,0.04363,-81.03039865,-84.84513439
78,3031344.494,2742645.018,0,0.03183,0.04859,-81.03039865,-84.84513439
79,3031344.494,2742645.018,0,0.03702,0.05469,-81.03039865,-84.84513439
80,2742645.018,2453945.543,0,0.042,0.06079,-25.24440407,-20.19728077
81,2165246.067,1876546.591,0,0.0474,0.06744,-25.24440407,-20.19728077
82,2453945.543,2165246.067,0,0.05469,0.07562,-25.24440407,-20.19728077
83,2020896.329,1732196.854,0,0.06132,0.08399,-25.24440407,-20.19728077
84,1732196.854,1443497.378,0,0.06765,0.09113,-25.24440407,-20.19728077
85,1732196.854,1299147.64,0,0.07662,0.10176,-25.24440407,-20.19728077
86,1587847.116,1154797.902,0,0.08432,0.10895,-25.24440407,-20.19728077
87,1587847.116,1154797.902,0,0.09809,0.12399,-25.24440407,-20.19728077
88,1299147.64,866098.4268,0,0.1061,0.12881,-25.24440407,-20.19728077
89,1010448.165,577398.9512,0,0.11751,0.13938,-25.24440407,-20.19728077
90,721748.689,433049.2134,0,0.13547,0.1573,-25.24440407,-20.19728077
91,577398.9512,288699.4756,0,0.14829,0.16893,-25.24440407,-20.19728077
92,433049.2134,288699.4756,0,0.16104,0.17962,-25.24440407,-20.19728077
93,288699.4756,144349.7378,0,0.1758,0.1894,-25.24440407,-20.19728077
94,288699.4756,144349.7378,0,0.18825,0.19796,-25.24440407,-20.19728077
95,144349.7378,144349.7378,0,0.19596,0.20943,-25.24440407,-20.19728077
96,144349.7378,5063,0,0.20542,0.20942,-25.24440407,-20.19728077
97,144349.7378,3306,0,0.21584,0.20537,-25.24440407,-20.19728077
98,5145,2148,0,0.22326,0.20406,-25.24440407,-20.19728077
99,3892,1536,0,0.21252,0.19833,-25.24440407,-20.19728077
100,5784,1778,0,0.25139,0.20564,0,0
