age,female_pop,male_pop,asfr,death_prob_female,death_prob_male,mig_female,mig_male,fertility_annual_factor,fertility_decline_years
68,6665314.04,6418697.421,0,0.018417598,0.018417598,-281.2474919,-335.1589748,,
69,5646024.174,5365416.772,0,0.020446318,0.020446318,-281.2474919,-335.1589748,,
70,5162417.331,4961599.297,0,0.023071721,0.023071721,-148.4039885,-188.2320347,,
71,4924832.836,4824366.246,0,0.026771152,0.026771152,-148.4039885,-188.2320347,,
72,4256198.676,4046368.081,0,0.030192132,0.030192132,-148.4039885,-188.2320347,,
73,4005641.039,3816574.782,0,0.034090457,0.034090457,-148.4039885,-188.2320347,,
74,3640684.524,3380011.512,0,0.038486018,0.038486018,-148.4039885,-188.2320347,,
75,3231748.8,2949617.13,0,0.044611958,0.044611958,-81.03039865,-84.84513439,,
76,3035142.104,2807202.932,0,0.049445085,0.049445085,-81.03039865,-84.84513439,,
77,2714843.441,2433585.66,0,0.055968813,0.055968813,-81.03039865,-84.84513439,,
78,2552549.42,2265642.865,0,0.063308007,0.063308007,-81.03039865,-84.84513439,,
79,2511139.381,2197749.186,0,0.073630614,0.073630614,-81.03039865,-84.84513439,,
80,2225858.003,1923363.9,0,0.083535542,0.083535542,-25.24440407,-20.19728077,,
81,1900814.295,1576155.213,0,0.094275826,0.094275826,-25.24440407,-20.19728077,,
82,1945115.671,1611722.845,0,0.10877521,0.10877521,-25.24440407,-20.19728077,,
83,1713209.829,1375536.171,0,0.121961892,0.121961892,-25.24440407,-20.19728077,,
84,1573157.369,1205195.861,0,0.134551891,0.134551891,-25.24440407,-20.19728077,,
85,1310622.068,946138.0708,0,0.152392697,0.152392697,-6.311101019,-5.049320193,,
86,1133094.097,796791.7691,0,0.167707546,0.167707546,-6.311101019,-5.049320193,,
87,1025782.454,717124.5133,0,0.19509527,0.19509527,-6.311101019,-5.049320193,,
88,748013.9165,523235.7346,0,0.211026692,0.211026692,-6.311101019,-5.049320193,,
89,616893.5579,413442.0625,0,0.233720514,0.233720514,-6.311101019,-5.049320193,,
90,536948.2075,349553.2831,0,0.269441903,0.269441903,0,0,,
91,381037.2416,230222.7014,0,0.294940133,0.294940133,0,0,,
92,318681.8516,187161.8514,0,0.320299137,0.320299137,0,0,,
93,227295.1415,128535.4025,0,0.349655913,0.349655913,0,0,,
94,159090.954,87484.11563,0,0.374418235,0.374418235,0,0,,
95,123237.9403,64059.08136,0,0.389752973,0.389752973,0,0,,
96,86448.64762,43111.94057,0,0.40856836,0.40856836,0,0,,
97,58598.90423,28150.91359,0,0.42929313,0.42929313,0,0,,
98,37296.96217,18290.43025,0,0.444051076,0.444051076,0,0,,
99,26692.22519,13079.19034,0,0.468435499,0.468435499,0,0,,
100,35581.30207,15139.84403,0,0.5,0.5,0,0,,
