age,female_pop,male_pop,asfr,death_prob_female,death_prob_male,mig_female,mig_male,fertility_annual_factor,fertility_decline_years
68,7672766.796,7388874.425,0,0.018417598,0.018417598,-281.2474919,-335.1589748,,
69,6499412.713,6176391.901,0,0.020446318,0.020446318,-281.2474919,-335.1589748,,
70,5942709.383,5711537.988,0,0.023071721,0.023071721,-148.4039885,-188.2320347,,
71,5669214.329,5553562.357,0,0.026771152,0.026771152,-148.4039885,-188.2320347,,
72,4899517.064,4657970.873,0,0.030192132,0.030192132,-148.4039885,-188.2320347,,
73,4611087.996,4393444.642,0,0.034090457,0.034090457,-148.4039885,-188.2320347,,
74,4190968.822,3890895.454,0,0.038486018,0.038486018,-148.4039885,-188.2320347,,
75,3720223.044,3395447.572,0,0.044611958,0.044611958,-81.03039865,-84.84513439,,
76,3493899.525,3231507.671,0,0.049445085,0.049445085,-81.03039865,-84.84513439,,
77,3125188.173,2801418.679,0,0.055968813,0.055968813,-81.03039865,-84.84513439,,
78,2938363.641,2608091.568,0,0.063308007,0.063308007,-81.03039865,-84.84513439,,
79,2890694.534,2529935.856,0,0.073630614,0.073630614,-81.03039865,-84.84513439,,
80,2562293.28,2214077.624,0,0.083535542,0.083535542,-25.24440407,-20.19728077,,
81,2188119.677,1814388.836,0,0.094275826,0.094275826,-25.24440407,-20.19728077,,
82,2239117.143,1855332.465,0,0.10877521,0.10877521,-25.24440407,-20.19728077,,
83,1972159.062,1583446.511,0,0.121961892,0.121961892,-25.24440407,-20.19728077,,
84,1810937.873,1387359.504,0,0.134551891,0.134551891,-25.24440407,-20.19728077,,
85,1508720.733,1089145.497,0,0.152392697,0.152392697,-6.311101019,-5.049320193,,
86,1304359.662,917225.714,0,0.167707546,0.167707546,-6.311101019,-5.049320193,,
87,1180828.015,825516.8656,0,0.19509527,0.19509527,-6.311101019,-5.049320193,,
88,861075.1582,602322.0732,0,0.211026692,0.211026692,-6.311101019,-5.049320193,,
89,710136.1435,475933.2434,0,0.233720514,0.233720514,-6.311101019,-5.049320193,,
90,618107.1669,402387.7657,0,0.269441903,0.269441903,0,0,,
91,438630.4799,265020.5359,0,0.294940133,0.294940133,0,0,,
92,366850.1611,215451.0996,0,0.320299137,0.320299137,0,0,,
93,261650.4795,147963.3462,0,0.349655913,0.349655913,0,0,,
94,183137.3259,100707.2155,0,0.374418235,0.374418235,0,0,,
95,141865.18,73741.52058,0,0.389752973,0.389752973,0,0,,
96,99515.238,49628.24919,0,0.40856836,0.40856836,0,0,,
97,67456.04543,32405.88422,0,0.42929313,0.42929313,0,0,,
98,42934.34506,21055.00282,0,0.444051076,0.444051076,0,0,,
99,30726.71714,15056.0914,0,0.468435499,0.468435499,0,0,,
100,40959.36538,17428.20997,0,0.5,0.5,0,0,,
